DepMap_ID	stripped_cell_line_name	COL1A1_FN1	COL1A1	FN1
ACH-000043	HS895T	FALSE	9.78113017559988	10.9315501027095
ACH-000063	HS616T	FALSE	12.5896979561071	13.4218018604699
ACH-000071	HS706T	FALSE	13.6717621863446	12.653964643249
ACH-000079	TE125T	FALSE	11.6702136367386	11.8381402748519
ACH-000083	HS281T	TRUE	12.2775198866414	13.6572067815569
ACH-000088	HS172T	FALSE	8.5708044377245	8.88801258540283
ACH-000119	HS863T	FALSE	11.7066255180874	12.1131886795729
ACH-000125	TO175T	TRUE	12.8177431573695	13.6673333416052
ACH-000131	HS229T	FALSE	10.3444068801893	10.5163894866248
ACH-000133	HS729	FALSE	11.7424778670037	10.7511255833673
ACH-000134	HS274T	TRUE	12.2402546928895	13.7208855035937
ACH-000135	HS940T	TRUE	12.5433218772292	13.8926376777487
ACH-000154	HS888T	FALSE	10.9589151560913	12.6636248117552
ACH-000165	HS751T	TRUE	12.8126987639754	13.6786001390995
ACH-000175	TE159T	FALSE	12.1686721181322	11.3380677975426
ACH-000180	HS839T	TRUE	12.6126381636048	13.8762291462434
ACH-000184	HS343T	TRUE	12.6083934471281	13.8322966787499
ACH-000185	HS737T	TRUE	13.0740243561295	14.2689074523478
ACH-000194	HS934T	TRUE	12.4730461390946	13.24097016757
ACH-000199	HS255T	FALSE	11.5803056828324	12.0375812707529
ACH-000214	HS675T	FALSE	10.8298020018667	10.7315736018061
ACH-000224	HS819T	TRUE	13.3130247225955	14.928148216169
ACH-000229	HS822T	TRUE	12.8181627284182	14.9384309922328
ACH-000230	HS742T	TRUE	12.9996477365284	14.4338462084428
ACH-000240	HS600T	TRUE	12.9366931431138	13.6259370995385
ACH-000275	HS834T	TRUE	12.3805692902149	13.5101460201554
ACH-000284	HS840T	FALSE	11.5835529304665	12.0290801266917
ACH-000306	HS688AT	TRUE	12.3248274761587	14.7559307410844
ACH-000340	HS870T	FALSE	11.402106059129	12.3861588882129
ACH-000413	HS739T	TRUE	13.226788472763	14.2597432636908
ACH-000526	HS821T	TRUE	13.5925738310379	14.1976774463074
ACH-000529	T173	FALSE	12.981032058361	13.6922885700074
ACH-000531	RS5	TRUE	12.3830292210842	13.8337795599997
ACH-000539	HS618T	FALSE	10.8740592031411	10.7737985737517
ACH-000540	HS606T	FALSE	13.0395359797442	13.5526690975143
ACH-000742	DM3	FALSE	10.465770449084	12.7608654569182
ACH-000797	HLFA	FALSE	11.3112942089134	11.2955967648349
ACH-000850	HS698T	FALSE	12.1574416801747	13.7615512324445
ACH-001207	TIG3TD	TRUE	11.2058543274878	12.4456615333331
